datetime	high	low	open
2025-10-28 04:00:00	191.5000	190.5800	191.2000
2025-10-28 05:00:00	191.6200	191.0400	191.1700
2025-10-28 06:00:00	191.5800	191.3000	191.4400
2025-10-28 07:00:00	192.6800	191.3000	191.3300
2025-10-28 08:00:00	193.3600	190.5848	190.7300
2025-10-28 09:00:00	195.4690	192.6500	193.1300
2025-10-28 10:00:00	193.9700	192.2000	193.8700
2025-10-28 11:00:00	193.3400	191.9100	193.1850
2025-10-28 12:00:00	195.5500	193.3000	193.3400
2025-10-28 13:00:00	198.4700	193.2682	193.8750
2025-10-28 14:00:00	200.0000	197.4800	198.0450
2025-10-28 15:00:00	203.1500	192.9400	199.9850
2025-10-28 16:00:00	205.6974	193.0500	201.0300
2025-10-28 17:00:00	216.0650	182.3900	204.6300
2025-10-28 18:00:00	204.5500	203.1000	204.1000
2025-10-28 19:00:00	204.4400	203.1600	203.2800
2025-10-29 04:00:00	208.0700	205.3000	206.0200
2025-10-29 05:00:00	207.9500	207.0400	207.3400
2025-10-29 06:00:00	208.9000	207.1900	207.3100
2025-10-29 07:00:00	209.3700	207.4100	207.7200
2025-10-29 08:00:00	209.3800	201.0300	206.1100
2025-10-29 09:00:00	212.0100	207.0900	208.0900
2025-10-29 10:00:00	212.1899	207.9800	211.9750
2025-10-29 11:00:00	209.1800	206.3600	208.8950
2025-10-29 12:00:00	207.5000	205.0300	207.4900
2025-10-29 13:00:00	208.0250	206.2300	206.9300
2025-10-29 14:00:00	207.6500	204.7750	207.3550
2025-10-29 15:00:00	208.0500	205.4000	206.5950
2025-10-29 16:00:00	213.9950	199.2898	207.0350
2025-10-29 17:00:00	213.9950	194.2784	207.6300
2025-10-29 18:00:00	210.0800	204.9400	204.9800
2025-10-29 19:00:00	207.9800	207.1100	207.4900
2025-10-30 04:00:00	208.7300	206.6600	207.0400
2025-10-30 05:00:00	207.7200	205.0000	207.3500
2025-10-30 06:00:00	206.2200	205.0500	205.5400
2025-10-30 07:00:00	207.3900	205.9100	205.9300
2025-10-30 08:00:00	210.0500	202.7500	206.7100
2025-10-30 09:00:00	207.0400	201.4500	203.2000
2025-10-30 10:00:00	204.7100	201.4100	203.9600
2025-10-30 11:00:00	203.8500	202.0600	202.9100
2025-10-30 12:00:00	203.8400	202.4100	202.5650
2025-10-30 13:00:00	204.4799	202.4407	203.5700
2025-10-30 14:00:00	204.2800	203.3652	204.1700
2025-10-30 15:00:00	203.6100	201.8800	203.5050
2025-10-30 16:00:00	207.0400	200.6264	202.7700
2025-10-30 17:00:00	204.5000	191.7432	204.0400
2025-10-30 18:00:00	204.8400	202.8900	204.0100
2025-10-30 19:00:00	204.7100	204.0100	204.4900
2025-10-31 04:00:00	207.0300	205.3100	205.8900
2025-10-31 05:00:00	207.1300	206.4000	206.6000
2025-10-31 06:00:00	207.4400	206.7200	207.1300
2025-10-31 07:00:00	207.2300	206.1900	206.7500
2025-10-31 08:00:00	207.5000	202.8900	207.1200
2025-10-31 09:00:00	208.4950	180.8000	206.7700
2025-10-31 10:00:00	206.6200	204.6200	205.2250
2025-10-31 11:00:00	206.6000	203.7600	206.4700
2025-10-31 12:00:00	204.3800	202.5601	203.7700
2025-10-31 13:00:00	203.9500	202.0700	202.7500
2025-10-31 14:00:00	204.3800	203.0870	203.2600
2025-10-31 15:00:00	204.7700	202.3810	203.7600
2025-10-31 16:00:00	204.1399	192.8472	202.4100
2025-10-31 17:00:00	204.1500	180.4200	202.4900
2025-10-31 18:00:00	202.8800	202.6300	202.8600
2025-10-31 19:00:00	202.8200	202.5122	202.7800
2025-11-03 04:00:00	205.8000	203.5000	203.9900
2025-11-03 05:00:00	205.5300	204.9300	205.4700
2025-11-03 06:00:00	206.3500	205.1600	205.1600
2025-11-03 07:00:00	206.9000	205.6100	205.7000
2025-11-03 08:00:00	206.9900	202.4900	205.8500
2025-11-03 09:00:00	209.4500	198.5050	206.9100
2025-11-03 10:00:00	208.4400	206.8000	207.6400
2025-11-03 11:00:00	209.5100	207.7000	208.0999
2025-11-03 12:00:00	210.5595	208.7700	209.1700
2025-11-03 13:00:00	211.3350	209.3300	210.4550
2025-11-03 14:00:00	209.5600	206.9241	209.4100
2025-11-03 15:00:00	208.4300	205.5600	208.2500
2025-11-03 16:00:00	216.0287	202.4900	207.0300
2025-11-03 17:00:00	219.1221	197.4462	207.2301
2025-11-03 18:00:00	207.3300	180.4500	207.1700
2025-11-03 19:00:00	207.2300	206.3100	207.2200
2025-11-04 04:00:00	205.0200	202.2100	204.0500
2025-11-04 05:00:00	203.1000	201.4100	202.2400
2025-11-04 06:00:00	203.3500	202.4300	202.6400
